"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that selecting a 'Rows Per Page' option displays the correct number of rows in the table.","13662","testRowsPerPageSelectionDisplaysCorrectNumberOfRows","suite name","Thu May 15 19:45:58 GMT 2025","passed","Thu May 15 19:46:12 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testRowsPerPageSelectionDisplaysCorrectNumberOfRows"
"Error message is displayed when start date is after end date.","4112","testErrorMessageForReversedDateRange","suite name","Thu May 15 19:46:38 GMT 2025","passed","Thu May 15 19:46:42 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testErrorMessageForReversedDateRange"
"Added company appears in the 'Select company' dropdown list","5472","testVerifyCompanyPresenceInDropdown","suite name","Thu May 15 19:48:15 GMT 2025","passed","Thu May 15 19:48:21 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyCompanyPresenceInDropdown"
"Download files: PDF, Excel, CVS","4563","testDownloadFiles","suite name","Thu May 15 19:45:56 GMT 2025","passed","Thu May 15 19:46:01 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testDownloadFiles"
"User navigate to 'System administration page' after clicking on 'System administration' link on the header","1926","testNavigateToSystemAdministrationPage","suite name","Thu May 15 19:45:29 GMT 2025","passed","Thu May 15 19:45:31 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testNavigateToSystemAdministrationPage"
"Verify 'Add business unit' button activation once some company is selected","11550","testVerifyAvailabilityOfBusinessUnitButton","suite name","Thu May 15 19:43:06 GMT 2025","passed","Thu May 15 19:43:18 GMT 2025","xyz.npgw.test.run.AddBusinessUnitTest","test name","xyz.npgw.test.run.AddBusinessUnitTest","testVerifyAvailabilityOfBusinessUnitButton"
"Error message is shown for company name is shorter than 4 or longer than 100 characters.","3843","testVerifyErrorMessageForInvalidCompanyNameLength","suite name","Thu May 15 19:48:26 GMT 2025","passed","Thu May 15 19:48:30 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyErrorMessageForInvalidCompanyNameLength"
"Verify that clicking the Close button successfully closes the 'Add Company' dialog.","4590","testVerifyCloseAddCompanyDialogWhenCloseButtonIsClicked","suite name","Thu May 15 19:48:06 GMT 2025","passed","Thu May 15 19:48:10 GMT 2025","xyz.npgw.test.run.AddCompanyDialogTest","test name","xyz.npgw.test.run.AddCompanyDialogTest","testVerifyCloseAddCompanyDialogWhenCloseButtonIsClicked"
"Filtering transactions by Currency","4698","testFilterTransactionsByCurrency","suite name","Thu May 15 19:47:29 GMT 2025","passed","Thu May 15 19:47:34 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testFilterTransactionsByCurrency"
"Verifies that table column headers are displayed correctly on each page when navigating through paginated results.","7418","testColumnHeadersDisplayCorrectlyOnAllPages","suite name","Thu May 15 19:44:37 GMT 2025","passed","Thu May 15 19:44:45 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testColumnHeadersDisplayCorrectlyOnAllPages"
