"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Companies and business units","0","Company Name Length Validation","0","3","","0"
"0","Companies and business units","0","Company Name Validation","0","18","","0"
"0","Login","0","Navigation","0","5","","0"
"12","","0","","0","0","","0"
"0","Companies and business units","0","Add Company","0","2","","0"
"0","Dashboard","0","Navigation","0","2","","0"
"0","SA/Acquirers","0","Status","0","1","","0"
"0","Transactions","0","Pagination","0","0","","1"
"0","","0","Company Creation","0","1","","0"
"0","SA/Team","0","Navigation","0","1","","0"
"0","Login","0","Remember me","0","2","","0"
"0","Companies and business units","0","Title Verification","0","1","","0"
"0","Transactions","0","Selector Rows options","0","1","","0"
"0","Transactions","0","Displaying currency filter: EUR","0","0","","1"
"0","Companies and business units","0","Validation of Required Fields","0","3","","0"
"0","Transactions","0","Navigation","0","1","","0"
"0","SA/Acquirers","0","Select acquirer","0","1","","0"
"0","Transactions","0","Panel","0","1","","0"
"0","SA/Acquirers","0","Acquirers list","0","2","","0"
"0","","0","Close Button Functionality","0","1","","0"
"0","","0","Company Verification","0","1","","0"
"0","Companies and business units","0","Company Creation","0","1","","0"
"0","Companies and business units","0","Placeholders Verification","0","1","","0"
"0","Reports","0","Navigation","0","1","","0"
"0","Transactions","0","Number of lines per page field","0","1","","0"
