"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Transactions","0","Amount","3","2","","0"
"0","Header","0","Log Out","1","0","","0"
"0","System/Gateway","0","Currency","0","2","","2"
"0","Header","0","User menu","13","0","","0"
"0","Transactions","0","Filter","0","11","","0"
"0","Transactions","0","Settings","0","2","","0"
"0","System/Acquirers","0","Add acquirer","0","11","","0"
"0","Transactions","0","Reset filter","0","17","","0"
"0","System/Acquirers","0","Acquirers list","0","8","","0"
"0","Reports","0","Generate report","0","2","","0"
"0","Transactions","0","Refresh data","0","2","","0"
"0","System/Companies and business units","0","Add company","12","0","","0"
"0","Reports","0","Table entries sorting","0","1","","0"
"0","Dashboard","0","Reset filter","0","1","","0"
"0","Transactions","0","Table sorting","0","2","","0"
"0","System/Companies and business units","0","Add business unit","0","5","","0"
"0","System/Companies and business units","0","Edit company","0","1","","0"
"0","System/Team","0","Add user","5","0","","0"
"0","Transactions","0","Navigation","0","1","","0"
"0","Login","0","Navigation","0","5","","0"
"1","System/Acquirers","0","Edit acquirers","0","0","","0"
"0","System/Team","0","Edit user","5","1","","0"
"0","Transactions","0","Transaction details","2","0","","0"
"0","Transactions","0","Export table data","2","1","","0"
"0","Transactions","0","Currency","0","3","","0"
"0","Dashboard","0","Transaction summary","0","1","","0"
"0","System/Acquirers","0","Rows Per Page","0","3","","0"
"0","System/Team","0","Status","0","1","","0"
"0","Dashboard","0","Data range","0","1","","0"
"0","Transactions","0","Pagination","0","3","","0"
"0","Reports","0","Navigation","0","1","","0"
"0","System/Team","0","Sorting in table","2","0","","0"
"0","Transactions","0","Card type","0","1","","0"
"0","Dashboard","0","Chart Display","0","1","","0"
"0","System/Acquirers","0","Reset","0","2","","0"
"0","Dashboard","0","Navigation","0","1","","0"
"0","Companies and business units","0","Reset filter","0","1","","0"
"0","Dashboard","0","Refresh data","0","1","","0"
"0","System/Acquirers","0","Status","0","4","","0"
"0","Transactions","0","Date range","1","0","","0"
"0","Header","0","Transactions menu item","1","0","","0"
"0","Transactions","0","Business unit","0","1","","0"
"0","Transactions","0","Status","0","1","","0"
"0","System/Acquirers","0","Select acquirer","0","1","","0"
"0","Login","0","Remember me","0","2","","0"
"0","Dashboard","0","Transaction summary mock data","0","1","","0"
"0","System/Team","0","Reset filter","1","0","","0"
"0","Header","0","Logo","2","0","","0"
"0","Transactions","0","Panel","0","1","","0"
"0","System/Companies and business units","0","Edit business unit","0","1","","0"
"0","System/Companies and business units","0","Settings","0","1","","0"
"0","Companies and business units","0","Add business unit","0","1","","0"
"0","Reports","0","Reset filter","0","1","","0"
"0","System/Team","0","Navigation","1","0","","0"
"0","Reports","0","Data range","0","1","","0"
