"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"'Creation Date' column sorts ascending by default and descending on click.","9450","testSortByCreationDate","suite name","Wed Jul 09 03:35:17 GMT 2025","passed","Wed Jul 09 03:35:26 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testSortByCreationDate"
"User navigate to 'Dashboard page' after login","96","testNavigateToDashboardAfterLogin","suite name","Wed Jul 09 03:28:46 GMT 2025","passed","Wed Jul 09 03:28:46 GMT 2025","xyz.npgw.test.run.DashboardPageTest","test name","xyz.npgw.test.run.DashboardPageTest","testNavigateToDashboardAfterLogin"
"Verify that business unit can be deleted","7957","testDeleteBusinessUnit","suite name","Wed Jul 09 03:34:02 GMT 2025","passed","Wed Jul 09 03:34:10 GMT 2025","xyz.npgw.test.run.AddEditBusinessUnitTest","test name","xyz.npgw.test.run.AddEditBusinessUnitTest","testDeleteBusinessUnit"
"Deactivate user by 'Change user activity button' and verify status change","15177","testDeactivateUserViaChangeUserActivityButton","suite name","Wed Jul 09 03:27:53 GMT 2025","passed","Wed Jul 09 03:28:08 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testDeactivateUserViaChangeUserActivityButton"
"Check that selecting a company populates the 'Business units list', and when no company is selected, the list is empty with 'No items.'","5660","testBusinessUnitsListUpdatesOnCompanySelection","suite name","Wed Jul 09 03:22:21 GMT 2025","passed","Wed Jul 09 03:22:26 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","testBusinessUnitsListUpdatesOnCompanySelection"
"Filtering transactions by Amount","11130","testFilterTransactionsByAmount","suite name","Wed Jul 09 03:32:34 GMT 2025","passed","Wed Jul 09 03:32:45 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testFilterTransactionsByAmount"
"Verify that entries can be sorted by Status","18561","testSortEntriesByStatus","suite name","Wed Jul 09 03:26:01 GMT 2025","passed","Wed Jul 09 03:26:19 GMT 2025","xyz.npgw.test.run.GatewayPageTest","test name","xyz.npgw.test.run.GatewayPageTest","testSortEntriesByStatus"
"Log out via button in the Header","2440","testLogOutViaButtonInHeader","suite name","Wed Jul 09 03:22:23 GMT 2025","passed","Wed Jul 09 03:22:25 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testLogOutViaButtonInHeader"
"User email is remembered after first successful login with checked 'Remember me'","5326","testRememberMeCheckedSavesUserEmail","suite name","Wed Jul 09 03:20:33 GMT 2025","passed","Wed Jul 09 03:20:38 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testRememberMeCheckedSavesUserEmail"
"Verify that users can be sorted alphabetically","4880","testCheckSortingListOfUsersAlphabetically","suite name","Wed Jul 09 03:26:15 GMT 2025","passed","Wed Jul 09 03:26:20 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testCheckSortingListOfUsersAlphabetically"
"User navigate to 'Reports page' after clicking on 'Reports' link on the header","0","testNavigateToReportsPage","suite name","Wed Jul 09 03:20:20 GMT 2025","unknown","Wed Jul 09 03:20:20 GMT 2025","xyz.npgw.test.run.ReportsPageTest","test name","xyz.npgw.test.run.ReportsPageTest","testNavigateToReportsPage"
"Error message when trying to create a company with invalid length and special characters.","4945","testErrorForInvalidCompanyNameLengthAndCharacters","suite name","Wed Jul 09 03:26:53 GMT 2025","passed","Wed Jul 09 03:26:58 GMT 2025","xyz.npgw.test.run.AddEditCompanyTest","test name","xyz.npgw.test.run.AddEditCompanyTest","testErrorForInvalidCompanyNameLengthAndCharacters"
"Verify Minimum and Maximum Password Length Restrictions (negative)","3356","testPasswordLengthRestrictionsOnChange","suite name","Wed Jul 09 03:23:07 GMT 2025","passed","Wed Jul 09 03:23:10 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testPasswordLengthRestrictionsOnChange"
"Verify the status is sent to the server","7322","testStatusRequestServer","suite name","Wed Jul 09 03:35:37 GMT 2025","passed","Wed Jul 09 03:35:45 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testStatusRequestServer"
"Verify, that the data in Transaction Details Dialog corresponds to the data in Transactions table","13159","testDataMatching","suite name","Wed Jul 09 03:25:08 GMT 2025","passed","Wed Jul 09 03:25:21 GMT 2025","xyz.npgw.test.run.TransactionDetailsTest","test name","xyz.npgw.test.run.TransactionDetailsTest","testDataMatching"
"Closes the transaction details dialog using both the button and the icon.","13043","testCloseTransactionDetailsDialog","suite name","Wed Jul 09 03:24:50 GMT 2025","passed","Wed Jul 09 03:25:03 GMT 2025","xyz.npgw.test.run.TransactionDetailsTest","test name","xyz.npgw.test.run.TransactionDetailsTest","testCloseTransactionDetailsDialog"
"The visibility of elements in the 'Acquirers List' control panel","4836","testVisibilityAcquirersListControlTab","suite name","Wed Jul 09 03:24:26 GMT 2025","passed","Wed Jul 09 03:24:31 GMT 2025","xyz.npgw.test.run.AcquirersPageTest","test name","xyz.npgw.test.run.AcquirersPageTest","testVisibilityAcquirersListControlTab"
"Unauthenticated users are automatically redirected to the 'Login page'","1338","testUnauthenticatedUserRedirectionToLoginPage","suite name","Wed Jul 09 03:21:08 GMT 2025","passed","Wed Jul 09 03:21:09 GMT 2025","xyz.npgw.test.run.LoginPageTest","test name","xyz.npgw.test.run.LoginPageTest","testUnauthenticatedUserRedirectionToLoginPage"
"Check that Logo in header contains text 'NPGW' and image","2066","testLogoContainsTextAndImage","suite name","Wed Jul 09 03:22:41 GMT 2025","passed","Wed Jul 09 03:22:43 GMT 2025","xyz.npgw.test.run.HeaderTest","test name","xyz.npgw.test.run.HeaderTest","testLogoContainsTextAndImage"
"Verify, that 'Reset filter' button change 'Card Type' to default value ( ALL)","4900","testResetCardType","suite name","Wed Jul 09 03:33:12 GMT 2025","passed","Wed Jul 09 03:33:17 GMT 2025","xyz.npgw.test.run.TransactionsPageTest","test name","xyz.npgw.test.run.TransactionsPageTest","testResetCardType"
"Add a new user and verify that all fields, statuses, and icons are correctly displayed(e2e).","10038","testAddCompanyAnalyst","suite name","Wed Jul 09 03:25:28 GMT 2025","passed","Wed Jul 09 03:25:38 GMT 2025","xyz.npgw.test.run.TeamPageTest","test name","xyz.npgw.test.run.TeamPageTest","testAddCompanyAnalyst"
"Verify full lists of column headers in table and visible columns from Settings","7645","testCheckUncheckAllVisibleColumns","suite name","Wed Jul 09 03:28:40 GMT 2025","passed","Wed Jul 09 03:28:47 GMT 2025","xyz.npgw.test.run.TransactionsTableTest","test name","xyz.npgw.test.run.TransactionsTableTest","testCheckUncheckAllVisibleColumns"
"Edit Acquirer and Verify Updated Data in the Table","10995","testEditAcquirerVerifyUpdatedData","suite name","Wed Jul 09 03:27:40 GMT 2025","passed","Wed Jul 09 03:27:51 GMT 2025","xyz.npgw.test.run.AddEditAcquirerTest","test name","xyz.npgw.test.run.AddEditAcquirerTest","testEditAcquirerVerifyUpdatedData"
